"source_filename","sha256","visual_subject","matched_feature_id","matched_feature_name_ar","match_type","confidence","review_status","notes"
"450A2244.JPG","9deb1d6f974ef0e7d727fee77ebad8675b2cb0ce6a41778c3de9cc9fa0a17d70","صف أعمدة داخل مبنى بازيليكي","WH-LY-003-C0023","Byzantine basilica","exact_feature","high","confirmed","تتابع تصويري واحد يُظهر صحن البازيليكا وصفوف الأعمدة ونهاية المبنى نصف الدائرية."
"450A2245.JPG","ff77139ff6d27151b34d8f858bed8046dae1bbb3bb885139946d053d37060063","صحن بازيليكا وأعمدة","WH-LY-003-C0023","Byzantine basilica","exact_feature","high","confirmed","تتابع تصويري واحد يُظهر صحن البازيليكا وصفوف الأعمدة ونهاية المبنى نصف الدائرية."
"450A2246.JPG","39bb48ef24484d32ebdac38a947051da5a3f781748f370d7b1f5e6dd504b181a","نهاية نصف دائرية وصف أعمدة بازيليكا","WH-LY-003-C0023","Byzantine basilica","exact_feature","high","confirmed","تتابع تصويري واحد يُظهر صحن البازيليكا وصفوف الأعمدة ونهاية المبنى نصف الدائرية."
"450A2250.JPG","aaca53b033c313ae9b34cc3ad244eb69a79e72e44c51cbba99575b40db650ea3","رواق بازيليكا","WH-LY-003-C0023","Byzantine basilica","exact_feature","high","confirmed","تتابع تصويري واحد يُظهر صحن البازيليكا وصفوف الأعمدة ونهاية المبنى نصف الدائرية."
"450A2251.JPG","b4e750bc9dbace7a51145fa786bd7b4fd9968560f967a6c530c904c3f86ccea5","رواق بازيليكا","WH-LY-003-C0023","Byzantine basilica","exact_feature","high","confirmed","تتابع تصويري واحد يُظهر صحن البازيليكا وصفوف الأعمدة ونهاية المبنى نصف الدائرية."
"450A2252.JPG","18159fac385f21937f9c2888a059048784a5550b3f859e560be4645d8feb5be8","مدرج مسرح حجري نصف دائري","WH-LY-003-C0001","مسرح شحات الاثري","exact_feature","high","confirmed","المدرج نصف الدائري الحجري ظاهر بوضوح في الصورتين."
"450A2254.JPG","97907accbcb83363300396af4e8641e2738719c72058ff29c2ac5bd8224a074a","بوابة أثرية ذات أعمدة","","","unmatched","none","reviewed_unmatched","تمت المراجعة بصريًا؛ لا توجد علامة كافية لربط الصورة بنقطة متخصصة دون تخمين."
"450A2255.JPG","cdc08285abc64c94240aa38eb07ca0150bcb7bac91358a2fc50ab6b6e457eb6b","بوابة أثرية ذات أعمدة","","","unmatched","none","reviewed_unmatched","تمت المراجعة بصريًا؛ لا توجد علامة كافية لربط الصورة بنقطة متخصصة دون تخمين."
"450A2259.JPG","028b501e907506aaed7bd60909abad94a4d663d2a3f6b8857af1f4cdb50505c2","أرضية فسيفساء","","","unmatched","none","reviewed_unmatched","تمت المراجعة بصريًا؛ لا توجد علامة كافية لربط الصورة بنقطة متخصصة دون تخمين."
"450A2265.JPG","d29928ea1f263ad3454a985a3f7ac10a0aee242d635a5852841c6d0222ea5e2a","نحت معماري على عارضة حجرية","","","unmatched","none","reviewed_unmatched","تمت المراجعة بصريًا؛ لا توجد علامة كافية لربط الصورة بنقطة متخصصة دون تخمين."
"450A2266.JPG","48723337a3a41a7d873b724254312869e3321332948d987ede4f90c909ce50bd","تماثيل هيرمية فوق جدار","","","unmatched","none","reviewed_unmatched","تمت المراجعة بصريًا؛ لا توجد علامة كافية لربط الصورة بنقطة متخصصة دون تخمين."
"450A2267.JPG","abf1c997f81383f25a842713cf7ab9da926478b625c3839a444a1b953fd5fffb","تماثيل هيرمية فوق جدار","","","unmatched","none","reviewed_unmatched","تمت المراجعة بصريًا؛ لا توجد علامة كافية لربط الصورة بنقطة متخصصة دون تخمين."
"450A2268.JPG","ef29ec4fd9030e26abd5f318b98f8a98d1a5b718ac8c73ab54b05cb9f06408b7","مشهد طبيعي كثيف الأشجار","","","unmatched","none","reviewed_unmatched","تمت المراجعة بصريًا؛ لا توجد علامة كافية لربط الصورة بنقطة متخصصة دون تخمين."
