"path","exists_locally","tracked_currently","found_in_git_history","historical_commit","current_status","sha256","recovery_action","notes"
"docs/images/batch-2a/batch-2a-accommodation-type-classification-audit.csv","True","True","True","1c1a2e7","tracked_after_recovery","49EA63F4F24EEFFDD1F971EF68DDD4FC57DF023DDD78F146E389CDA459A38082","restored_from_git_history_and_staged","Recovered from original Batch 2A preparation commit; local copy preserved outside workspace."
"docs/images/batch-2a/batch-2a-facilities-without-images.csv","True","True","True","1c1a2e7","tracked_after_recovery","9D83E82587F95DA2DDD83FAFC85BDF7746AB503FC31DA5F4C0852D2C60C12A02","restored_from_git_history_and_staged","Recovered from original Batch 2A preparation commit; local copy preserved outside workspace."
"docs/images/batch-2a/batch-2a-primary-recommendations.csv","True","True","True","1c1a2e7","tracked_after_recovery","0340B6B6FCA53D781CE3DB1F8541628E45E20E4D351A300FC9D8345B5024B9C2","restored_from_git_history_and_staged","Recovered from original Batch 2A preparation commit; local copy preserved outside workspace."
"docs/images/batch-2a/batch-2a-primary-technical-score.csv","True","True","True","1c1a2e7","tracked_after_recovery","9B4D99C12E54BA725F74DCC7F2D531F161D27411417946DE74C190DC89F1A5C2","restored_from_git_history_and_staged","Recovered from original Batch 2A preparation commit; local copy preserved outside workspace."
"docs/images/batch-2a/batch-2a-review-decisions.csv","True","True","True","1c1a2e7","tracked_after_recovery","EAFB77A682B34C707DB21214B1031741D96C6E89C6CD90111DE65C942224DBD1","restored_from_git_history_and_staged","Recovered from original Batch 2A preparation commit; local copy preserved outside workspace."
"docs/images/batch-2a/batch-2a-review-decisions.json","True","True","True","1c1a2e7","tracked_after_recovery","A5338D955B09046EC0B16F3A9625B7955C763AAE07DC722E474E6078745F932F","restored_from_git_history_and_staged","Recovered from original Batch 2A preparation commit; local copy preserved outside workspace."
"docs/images/batch-2a/batch-2a-review-working-set.csv","True","True","True","1c1a2e7","tracked_after_recovery","04CC8EEEC4FC28370C3167E51F28F5F234FC1868135FD826AAB7382983B5F8E2","restored_from_git_history_and_staged","Recovered from original Batch 2A preparation commit; local copy preserved outside workspace."
"docs/images/batch-2a/batch-2a-rights-clearance-plan.csv","True","True","True","1c1a2e7","tracked_after_recovery","F27B8ED4606C2327D94B03BB7C1842776245BBBD9B5726D484C8C756C83962C4","restored_from_git_history_and_staged","Recovered from original Batch 2A preparation commit; local copy preserved outside workspace."
"docs/images/batch-2a/batch-2a-shared-image-resolution.csv","True","True","True","1c1a2e7","tracked_after_recovery","C63462E2BA734B1EE6F0CE3F4BECFC7D81D4DD9FE74959A4EF6B6E1EF74FC314","restored_from_git_history_and_staged","Recovered from original Batch 2A preparation commit; local copy preserved outside workspace."
"docs/images/batch-2a/batch-2a-summary.json","True","True","True","1c1a2e7","tracked_after_recovery","20B9290844C57C18FEF6A1FD2DE4CF37CF178D5A0B2D47B60D49C8FAFA19BE4B","restored_from_git_history_and_staged","Recovered from original Batch 2A preparation commit; local copy preserved outside workspace."
"docs/images/batch-2a/batch-2a-visual-review-decisions.csv","True","True","True","1c1a2e7","tracked_after_recovery","EAFB77A682B34C707DB21214B1031741D96C6E89C6CD90111DE65C942224DBD1","restored_from_git_history_and_staged","Recovered from original Batch 2A preparation commit; local copy preserved outside workspace."
"docs/images/batch-2a/review-sheets/01-primary-hotels/page-001.html","True","True","True","1c1a2e7","tracked_after_recovery","39D2FA243FEE667EA3CA41DAE5066E64EBF5FEF42B8A369015CFE3DF7DE12FB8","restored_from_git_history_and_staged","Recovered from original Batch 2A preparation commit; local copy preserved outside workspace."
"docs/images/batch-2a/review-sheets/01-primary-hotels/page-002.html","True","True","True","1c1a2e7","tracked_after_recovery","EB6CE9193799F10DA151DD598ECFA072F88EC0A79D2626347E8C84D649E20AD3","restored_from_git_history_and_staged","Recovered from original Batch 2A preparation commit; local copy preserved outside workspace."
"docs/images/batch-2a/review-sheets/01-primary-hotels/page-003.html","True","True","True","1c1a2e7","tracked_after_recovery","9DF293CB5EFD4143E620C0966E11A17FF64D485AE8FAF672D0C704CD201071FB","restored_from_git_history_and_staged","Recovered from original Batch 2A preparation commit; local copy preserved outside workspace."
